,ReplayFingerPrint,TeamName,Team,Battletag
3434,1e87555f-ff09-dab2-7b32-70676c920162,30 seconds to mosh,1,5
3546,1f73e050-e8f4-ae22-c862-17821c6f2f9e,ff & the pancakes,0,5
3575,1fbf3a6c-d7ff-89b5-5c24-1befa97d0d0e,ff & the pancakes,1,5
3635,204d38f7-2de6-4825-34fd-a1941cf85637,30 seconds to mosh,1,5
3636,204d38f7-2de6-4825-34fd-a1941cf85637,ff & the pancakes,0,5
3762,213de56a-b4f5-493e-e423-f8e1bd8582a1,ff & the pancakes,0,5
3838,21d1cafa-0aec-9cb8-b582-1e07f28c7769,ff & the pancakes,1,5
3874,222fb09c-112c-b29a-56f4-691fbbdc0370,ff & the pancakes,0,5
3908,22728c89-7b91-d2a7-18b2-0c22b9bea2a4,ycmyccastep7:cheeseawakens,1,5
4062,23e6c0b2-e642-9a4e-dea2-51f40373dbec,ff & the pancakes,1,5
4067,23f1f1ee-df94-ef8e-5a7f-3ab89e55dfe3,ff & the pancakes,1,5
4156,24c7e20e-a211-70aa-7ada-8ba4d41236af,ycmyccastep7:cheeseawakens,0,5
4167,24f33e74-c5d7-d242-fb83-88976c24e1a4,30 seconds to mosh,1,5
4198,25328298-7e33-98bf-b55c-60cf8457f57a,chogall chocolate factory,1,5
4199,25328298-7e33-98bf-b55c-60cf8457f57a,gold dragons,0,5
4257,25c04c91-febc-c1b6-d31c-02e94c0c623c,30 seconds to mosh,1,5
4341,268ea7af-7a1d-c6cf-0830-830e886c6d17,30 seconds to mosh,0,5
4355,26af68db-c91f-aee9-1d5f-9b127f6732ed,infernal misfits,1,5
4422,273c796e-dec5-6e8b-3f71-327e2c16f1cd,30 seconds to mosh,0,5
4538,28237c1a-749c-042d-0d43-5d06ca7d5883,ycmyccastep7:cheeseawakens,0,5
4565,286aafdb-e956-26a5-9043-a1d58aacc3da,30 seconds to mosh,0,5
4575,288f93b9-5b80-802d-256b-3802a7679de1,ff & the pancakes,1,5
4590,28aad364-57f2-97e0-18af-6ade386332aa,30 seconds to mosh,1,5
4685,2995602d-6d68-6a80-6d3a-a594c4f3fd3c,ff & the pancakes,0,5
4750,2a1e66a7-a15b-1ec4-e0e2-e60e02631000,30 seconds to mosh,1,5
4836,2ad4870f-ea36-1046-f2d6-6842ea48bf32,30 seconds to mosh,0,5
4862,2b0bec12-d917-d2eb-c07e-621790481979,30 seconds to mosh,1,5
4880,2b287e43-d9df-1820-3c30-e0ffb8bee16a,30 seconds to mosh,0,5
4941,2b9d9568-cdfc-9947-8fbb-c8587263eb9e,chogall chocolate factory,1,5
4942,2b9d9568-cdfc-9947-8fbb-c8587263eb9e,infernal misfits,0,5
4958,2bcdbcc1-c85d-a39f-f0ca-2c5cae6d9832,out of pocket,0,5
4998,2c18322d-ea90-6c69-b994-5eff3101ff36,ff & the pancakes,0,5
5221,2de0ed71-776d-7cc1-3e92-81c08d0c2e1a,ff & the pancakes,0,5
5271,2e3f4a3d-4076-65f7-f05e-02079eedd344,ff & the pancakes,1,5
5299,2e7e3050-a14c-bff9-c0cc-0dc373085146,30 seconds to mosh,0,5
5325,2eba9e01-d532-cc09-0769-179f2cf0841a,ycmyccastep7:cheeseawakens,1,5
5326,2ebc48c8-7741-212d-9ab5-2b0898d1a9d9,ff & the pancakes,1,5
5335,2ed19a6c-beda-ed0b-00c9-17a961b1e10e,30 seconds to mosh,0,5
5360,2efd67a2-ca08-302c-76bf-5858a58cc4f7,ff & the pancakes,0,5
5371,2f14f751-7d99-33e2-ab5c-b23c1983a9df,30 seconds to mosh,0,5
5379,2f20a52d-b569-3e05-0820-fc35927fae3b,ff & the pancakes,0,5
5406,2f6fd0b0-f508-02e8-7efc-e8e29f315fdc,ff & the pancakes,1,5
5411,2f78d078-646e-f716-d8e5-fde9bed62145,ltk - we hate obj,0,5
5428,2f8f4251-aa05-1b47-7697-069b5c3f35c3,infernal misfits,0,5
5488,30271834-6186-658e-0a42-ec9506c65428,out of pocket,1,5
5506,306e33bc-d445-1d73-5e91-59462defd1e9,ff & the pancakes,0,5
5601,3125546d-3789-552d-87d9-0b21156d3a98,out of pocket,0,5
5602,3125546d-3789-552d-87d9-0b21156d3a98,souls in slowmo,1,6
5683,31ceb32f-6be2-9dbd-3b25-c6c97ed39340,ycmyccastep7:cheeseawakens,1,5
5689,31d454e9-8c5e-fe98-cf28-741f63b0bd0b,out of pocket,1,5
5713,3210efb4-dbcd-7fa7-47a8-43a60d35da48,30 seconds to mosh,1,5
5736,3253c753-4aa6-b659-fa84-0d9b33b80c86,30 seconds to mosh,1,5
5821,331078bb-e87d-9bff-5c77-587c98aef5a7,beyonce gnolls,1,5
5822,331078bb-e87d-9bff-5c77-587c98aef5a7,ycmyccastep7:cheeseawakens,0,5
5846,3350abc7-6990-d4e4-5028-941018ce4a75,ycmyccastep7:cheeseawakens,0,5
5848,33564157-0a23-7bf7-4f95-21ed53d32be5,ycmyccastep7:cheeseawakens,0,5
5854,3366477f-f3f0-8a49-62c0-c4a7284d7180,out of pocket,0,5
5899,33c3a73e-61ab-47f3-1a93-184effd982c9,30 seconds to mosh,0,5
5907,33dabced-e072-e32a-47cf-6e08f88d1c4a,ff & the pancakes,0,5
5923,33fc4e9f-762d-113f-873e-77b74715f26d,ycmyccastep7:cheeseawakens,0,5
6004,34c402b3-85fb-9829-efb3-ef89d3ffb5a0,30 seconds to mosh,1,5
6104,35a31ac1-6b6e-5e5f-2ad0-2a4e8272fd5d,30 seconds to mosh,0,5
6114,35bc3da1-acc6-ee50-e50e-97eb2327eccf,out of pocket,1,5
6118,35c2784f-bf52-d0f6-1bf4-8905be037bb6,ycmyccastep7:cheeseawakens,1,5
6149,3603e4e8-976a-dd58-c548-7beead6f0e17,ff & the pancakes,1,5
6175,363d37c8-99c7-418f-9e10-1480f2701124,30 seconds to mosh,1,5
6226,3699e5c6-0bf9-551e-e5fc-d6eac66ccca0,ff & the pancakes,1,5
6242,36b13597-8834-d071-1674-f94de0e55fc0,ff & the pancakes,0,5
6251,36bfb696-1074-3666-ebaa-6bcadc3bd587,ff & the pancakes,0,5
6253,36c13d8d-3cd2-67ee-80d5-0304414f152b,ff & the pancakes,1,5
