TeamName,HeroName,NewRole,Games,Wins,WinRate
souls in slowmo,E.T.C.,Tank,1,0,0.0
souls in slowmo,Falstad,Ranged Assassin,5,2,0.4
souls in slowmo,Gazlowe,Bruiser,4,2,0.5
souls in slowmo,Genji,Ranged Assassin,2,1,0.5
souls in slowmo,Greymane,Ranged Assassin,2,0,0.0
souls in slowmo,Gul'dan,Ranged Assassin,1,0,0.0
souls in slowmo,Hanzo,Ranged Assassin,5,3,0.6
souls in slowmo,Hogger,Bruiser,2,0,0.0
souls in slowmo,Imperius,Bruiser,1,1,1.0
souls in slowmo,Jaina,Ranged Assassin,2,1,0.5
souls in slowmo,Johanna,Tank,6,1,0.17
souls in slowmo,Junkrat,Ranged Assassin,4,1,0.25
souls in slowmo,Kael'thas,Ranged Assassin,4,3,0.75
souls in slowmo,Kel'Thuzad,Ranged Assassin,2,1,0.5
souls in slowmo,Kerrigan,Melee Assassin,3,2,0.67
souls in slowmo,Kharazim,Healer,1,1,1.0
souls in slowmo,Leoric,Bruiser,1,1,1.0
souls in slowmo,Li-Ming,Ranged Assassin,1,0,0.0
souls in slowmo,Lt. Morales,Healer,1,0,0.0
souls in slowmo,Lunara,Ranged Assassin,1,1,1.0
souls in slowmo,Mal'Ganis,Tank,2,1,0.5
souls in slowmo,Malfurion,Healer,3,1,0.33
souls in slowmo,Malthael,Bruiser,2,0,0.0
souls in slowmo,Mei,Tank,10,5,0.5
souls in slowmo,Mephisto,Ranged Assassin,3,1,0.33
souls in slowmo,Muradin,Tank,5,2,0.4
souls in slowmo,Nazeebo,Ranged Assassin,1,0,0.0
souls in slowmo,Nova,Ranged Assassin,1,1,1.0
souls in slowmo,Orphea,Ranged Assassin,1,0,0.0
souls in slowmo,Qhira,Melee Assassin,3,1,0.33
souls in slowmo,Ragnaros,Bruiser,2,0,0.0
souls in slowmo,Raynor,Ranged Assassin,2,2,1.0
souls in slowmo,Rehgar,Healer,5,3,0.6
souls in slowmo,Rexxar,Bruiser,1,0,0.0
souls in slowmo,Sonya,Bruiser,11,6,0.55
souls in slowmo,Stitches,Tank,1,1,1.0
souls in slowmo,Stukov,Healer,3,0,0.0
souls in slowmo,Sylvanas,Ranged Assassin,9,3,0.33
souls in slowmo,Tassadar,Ranged Assassin,2,0,0.0
souls in slowmo,Thrall,Bruiser,6,3,0.5
souls in slowmo,Tychus,Ranged Assassin,2,0,0.0
souls in slowmo,Uther,Healer,5,2,0.4
souls in slowmo,Valla,Ranged Assassin,4,2,0.5
souls in slowmo,Varian,Bruiser,1,0,0.0
souls in slowmo,Whitemane,Healer,1,0,0.0
